N°;Prefijo Departamento;Departamento;Provincia;Localidad;Proyecto;Nombre de ODN/ODN Name;Nombre_de_OLT/OLT_Name;OUTDOOR/INDOOR;MODELO DE OLT;NAP (Qty);Usuarios Proyectados;Urb/Rur;OLT Location;RPM;Nombre de OLT (en  el prompt de OLT);Latitud OLT (Grados decimales (DD)) Ej: 41.40338;Longitud OLT (Grados decimales (DD)) Ej: 2.17403.;Status;OLT Upgrade;Fecha ATP ODN/ATP ODN Date;Fecha de Comisionamiento OLT/OLT Commissioning Date;Fecha ATP Instalación Gabinete/ATP Installation Cabinet Date;Fecha ATP OLT de Servicios/Services ATP OLT Date;Fecha ATP OTDR/ATP OTDR Date;Fecha ATP Energía/Date ATP Energy;Sitio de interconexión a OSN (capa 2);Equipo de agregación (Carrier Entel) - A;PUERTO AGREGADOR - A;Equipo de agregación (Carrier Entel) - B;PUERTO AGREGADOR - B;Equipo de agregación (Carrier Entel) - Name Location (Nombre de localidad/sitio);Latitud Agregador (Grados decimales (DD)) Ej: 41.40338;Longitud Agregador (Grados decimales (DD)) Ej: 2.17403.;FECHA DE HABILITACION - NUEVO NETNUMEN;"SEGMENTO
IP OLT GESTIÓN";GATEWAY GESTIÓN;IP OLT GESTIÓN;VLAN TR069;SEGMENTO IP POOL EASY GATEWAY TR069;VLAN DE GESTIÓN;VLANs OUTER PPPoE;VLANs OUTER PPPoE(SECOND);VLANs OUTER VPN & IPoE ;VLAN OUTER TELEFONIA;IP SEGMENTO DE RED TELEFONIA/VOICE SEGMENT;VLAN OUTER IPTV;IP SEGMENTO DE RED IPTV/IPTV SEGMENT;SEGMENTO IP OTDR;GATEWAY IP OTDR;IP OTDR;VLAN OTDR;SEGMENTO IP Modulo de Energia (ETMC);GATEWAY IP Modulo de Energia (ETMC);IP Modulo de Energia (ETMC);VLAN MODULO DE ENERGÍA (ETMC)
141;LPZ;LA PAZ;;;“PROVISIÓN DE EQUIPOS, MATERIALES Y SERVICIOS PARA NUEVA RED FTTX – GPON FASE 2”;;CHASQUIPAMPA;INDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_CHASQUIPAMPA_LPZ;;;;;;;;;;;;;;;;;;;;10.249.103.32/27;10.249.103.33;10.249.103.36;4008;;939;4029;1700;4030;2219;10.245.26.0/23;2281;10.246.224.0/20;NA;NA;NA;NA;NA;NA;NA;NA
142;LPZ;LA PAZ;;;“PROVISIÓN DE EQUIPOS, MATERIALES Y SERVICIOS PARA NUEVA RED FTTX – GPON FASE 2”;;SAN_JORGE;INDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_SAN_JORGE_LPZ;;;;;;;;;;;;;;;;;;;;10.249.103.96/27 ;10.249.103.97;10.249.103.100;4008;;939;4013;1700;4014;2211;10.245.12.0/23 - 10.245.100.0/22;2282;10.246.240.0/20;NA;NA;NA;NA;NA;NA;NA;NA
143;LPZ;LA PAZ;;;“PROVISIÓN DE EQUIPOS, MATERIALES Y SERVICIOS PARA NUEVA RED FTTX – GPON FASE 2”;;ACHUMANI_(COMPLEJO_THE_STRONGEST);INDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_ACHUMANI_(COMPLEJO_THE_STRONGEST)_LPZ;;;;;;;;;;;;;;;;;;;;10.201.128.64/27;10.201.128.65;10.201.128.68;4008;;939;4021;1702;4022;2215;10.245.20.0/23;2283;10.247.128.0/20;NA;NA;NA;NA;NA;NA;NA;NA
144;LPZ;LA PAZ;;;“PROVISIÓN DE EQUIPOS, MATERIALES Y SERVICIOS PARA NUEVA RED FTTX – GPON FASE 2”;;MIRAFLORES_(NORTE);INDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_MIRAFLORES_(NORTE)_LPZ;;;;;;;;;;;;;;;;;;;5/4/2023;10.201.128.128/27 ;10.201.128.129;10.201.128.132;4008;;939;4035;1700;4036;2231;10.245.32.0/23;2285;10.246.144.0/21;NA;NA;NA;NA;NA;NA;NA;NA
145;LPZ;LA PAZ;;;“PROVISIÓN DE EQUIPOS, MATERIALES Y SERVICIOS PARA NUEVA RED FTTX – GPON FASE 2”;;ALTO_IRPAVI;OUTDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_ALTO_IRPAVI_LPZ;;;;;;;;;;;;;;;;;;;;10.201.128.160/27;10.201.128.161;10.201.128.164;4008;;939;4023;1700;4024;2217;10.245.22.0/23;2286;10.246.152.0/21;NA;NA;NA;NA;NA;NA;NA;NA
146;LPZ;LA PAZ;;;“PROVISIÓN DE EQUIPOS, MATERIALES Y SERVICIOS PARA NUEVA RED FTTX – GPON FASE 2”;;IRPAVI_CALLE_8;INDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_IRPAVI_CALLE_8_LPZ;;;;;;;;;;;;;;;;;;;;10.201.128.160/27 ;10.201.128.161;10.201.128.165;4008;;939;4025;1701;4026;2218;10.245.24.0/23;2287;10.247.160.0/20;NA;NA;NA;NA;NA;NA;NA;NA
147;LPZ;LA PAZ;;;“PROVISIÓN DE EQUIPOS, MATERIALES Y SERVICIOS PARA NUEVA RED FTTX – GPON FASE 2”;;ALTO_OBRAJES_(BELLA_VISTA);INDOOR (SPARE);ZTE - C300;;;;;NELSON BOTETANO;OLT_ALTO_OBRAJES_(BELLA_VISTA)_LPZ;;;;;;;;;;;;;;;;;;;;;;NA;NA;;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
148;LPZ;LA PAZ;;;“PROVISIÓN DE EQUIPOS, MATERIALES Y SERVICIOS PARA NUEVA RED FTTX – GPON FASE 2”;;ALTO_OBRAJES_(BELLA_VISTA)_2;OUTDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_ALTO_OBRAJES_(BELLA_VISTA)_2_LPZ;;;;;;;;;;;;;;;;;;;;10.201.128.192/27;10.201.128.193;10.201.128.196;4008;;939;4033;1700;4034;2230;10.245.30.0/23;2288;10.247.176.0 /20;NA;NA;NA;NA;NA;NA;NA;NA
149;LPZ;LA PAZ;;;“PROVISIÓN DE EQUIPOS, MATERIALES Y SERVICIOS PARA NUEVA RED FTTX – GPON FASE 2”;;CAMPO_FERIAL_SEGUENCOMA;OUTDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_CAMPO_FERIAL_SEGUENCOMA_LPZ;;;;;;;;;;;;;;;;;;;;10.201.128.192/27 ;10.201.128.193 ;10.201.128.197;4008;;939;4017;1701;4018;2213;10.245.16.0/23;2289;10.247.192.0/21;NA;NA;NA;NA;NA;NA;NA;NA
150;LPZ;LA PAZ;;;“PROVISIÓN DE EQUIPOS, MATERIALES Y SERVICIOS PARA NUEVA RED FTTX – GPON FASE 2”;;PAMPAHASI_ALTIPLANO;OUTDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_PAMPAHASI_ALTIPLANO_LPZ;;;;;;;;;;;;;;;;;;;;10.201.129.0/27;10.201.129.1;10.201.129.4;4008;;939;4037;1700;4038;2232;10.245.34.0/23;2291;10.36.56.0/21 ;NA;NA;NA;NA;NA;NA;NA;NA
151;LPZ;LA PAZ;;;“PROVISIÓN DE EQUIPOS, MATERIALES Y SERVICIOS PARA NUEVA RED FTTX – GPON FASE 2”;;ALMACÉN_TECNICO_LA_PAZ;INDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_ALMACÉN_TECNICO_LA_PAZ_LPZ;;;;;;;;;;;;;;;;;;;;10.201.129.32/27;10.201.129.33;10.201.129.36;4008;;939;4015;1700;4016;2212;10.245.14.0/23;2292;10.247.208.0/20;NA;NA;NA;NA;NA;NA;NA;NA
152;LPZ;LA PAZ;;;“PROVISIÓN DE EQUIPOS, MATERIALES Y SERVICIOS PARA NUEVA RED FTTX – GPON FASE 2”;;HANSA;OUTDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_HANSA_LPZ;;;;;;;;;;;;;;;;;;;;10.201.129.96/27;10.201.129.97;10.201.129.100;4008;;939;4047;1701;4048;2235;10.245.40.0/23;2294;10.245.128.0/20;NA;NA;NA;NA;NA;NA;NA;NA
153;LPZ;LA PAZ;;;“PROVISIÓN DE EQUIPOS, MATERIALES Y SERVICIOS PARA NUEVA RED FTTX – GPON FASE 2”;;CIUDAD_SATELITE;OUTDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_CIUDAD_SATELITE_LPZ;;;;;;;;;;;;;;;;;;;;10.201.129.96/27;10.201.129.97;10.201.129.101;4008;;939;4039;1700;4040;2237;10.245.44.0/23;2295;10.245.144.0/20;NA;NA;NA;NA;NA;NA;NA;NA
154;LPZ;LA PAZ;;;“PROVISIÓN DE EQUIPOS, MATERIALES Y SERVICIOS PARA NUEVA RED FTTX – GPON FASE 2”;;1°_DE_MAYO;INDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_1°_DE_MAYO_LPZ;;;;;;;;;;;;;;;;;;;;10.201.129.128/27 ;10.201.129.129;10.201.129.132;4008;;939;4049;1700;4050;2236;10.245.42.0/23;2296;10.245.160.0/20;NA;NA;NA;NA;NA;NA;NA;NA
155;LPZ;LA PAZ;;;“PROVISIÓN DE EQUIPOS, MATERIALES Y SERVICIOS PARA NUEVA RED FTTX – GPON FASE 2”;;RIO_SECO_(PIL);INDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_RIO_SECO_(PIL)_LPZ;;;;;;;;;;;;;;;;;;;;10.201.129.160/27 ;10.201.129.161;10.201.129.164;4008;;939;4027;1700;4028;2238;10.245.46.0/23;2297;10.245.176.0/20;NA;NA;NA;NA;NA;NA;NA;NA
156;CBB;COCHABAMBA;;;“PROVISIÓN DE TARJETAS DE LÍNEA GPON PARA OLT ZTE”;;CBBA-OLT-C600-ZTE-CENTRAL_AYACUCHO;INDOOR;ZTE - C600;;;;;NELSON BOTETANO;OLT_CBBA-OLT-C600-ZTE-CENTRAL_AYACUCHO_CBB;;;;;;;;;;;;;;;;;;;;10.201.129.224/27;10.201.129.225;10.201.129.243;;;;;;;;;;;NA;NA;NA;NA;NA;NA;NA;NA
157;CBB;COCHABAMBA;;;“PROVISIÓN DE EQUIPOS, MATERIALES Y SERVICIOS PARA NUEVA RED FTTX – GPON FASE 2”;;ENTEL_AYACUCHO_CB;INDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_ENTEL_AYACUCHO_CB_CBB;;;;;;;;;;;;;;;;;;;;10.201.129.224/27;10.201.129.225;10.201.129.228;4008;;939;4011;1272;4012;3902;10.247.4.0/23;4062;10.245.208.0/20;NA;NA;NA;NA;NA;NA;NA;NA
158;CBB;COCHABAMBA;;;“PROVISIÓN DE EQUIPOS, MATERIALES Y SERVICIOS PARA NUEVA RED FTTX – GPON FASE 2”;;ENTEL_AYACUCHO_CB_2;INDOOR (SPARE);ZTE - C300;;;;;NELSON BOTETANO;OLT_ENTEL_AYACUCHO_CB_2_CBB;;;;;;;;;;;;;;;;;;;;;;NA;NA;;NA;76552;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
159;CBB;COCHABAMBA;;;“PROVISIÓN DE EQUIPOS, MATERIALES Y SERVICIOS PARA NUEVA RED FTTX – GPON FASE 2”;;HEROINAS;INDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_HEROINAS_CBB;;;;;;;;;;;;;;;;;;;;10.201.129.224/27;10.201.129.225;10.201.129.229;4008;;939;4015;1273;4016;3903;10.247.6.0/23;4063;10.245.224.0/20;NA;NA;NA;NA;NA;NA;NA;NA
160;CBB;COCHABAMBA;;;“PROVISIÓN DE EQUIPOS, MATERIALES Y SERVICIOS PARA NUEVA RED FTTX – GPON FASE 2”;;AEROPUERTO;INDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_AEROPUERTO_CBB;;;;;;;;;;;;;;;;;;;;10.201.129.224/27;10.201.129.225;10.201.129.230;4008;;939;4031;1274;4032;3911;10.247.22.0/23;4064;10.245.240.0/20;NA;NA;NA;NA;NA;NA;NA;NA
161;CBB;COCHABAMBA;;;“PROVISIÓN DE EQUIPOS, MATERIALES Y SERVICIOS PARA NUEVA RED FTTX – GPON FASE 2”;;CALA_CALA;OUTDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_CALA_CALA_CBB;;;;;;;;;;;;;;;;;;;;10.201.129.224/27;10.201.129.225;10.201.129.231;4008;;939;4029;1275;4030;3910;10.247.20.0/23;4065;10.181.0.0/20;NA;NA;NA;NA;NA;NA;NA;NA
162;CBB;COCHABAMBA;;;“PROVISIÓN DE EQUIPOS, MATERIALES Y SERVICIOS PARA NUEVA RED FTTX – GPON FASE 2”;;MAYORAZGO;INDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_MAYORAZGO_CBB;;;;;;;;;;;;;;;;;;;;10.201.130.0/27;10.201.130.1;10.201.130.4;4008;;939;4027;1276;4028;3909;10.247.18.0/23;4066;10.181.16.0/20;NA;NA;NA;NA;NA;NA;NA;NA
163;CBB;COCHABAMBA;;;“PROVISIÓN DE EQUIPOS, MATERIALES Y SERVICIOS PARA NUEVA RED FTTX – GPON FASE 2”;;CRUCE_TAQUIÑA;INDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_CRUCE_TAQUIÑA_CBB;;;;;;;;;;;;;;;;;;;;10.201.130.0/27;10.201.130.1;10.201.130.5;4008;;939;4021;1277;4022;3906;10.247.12.0/23;4067;10.181.32.0/20;NA;NA;NA;NA;NA;NA;NA;NA
164;CBB;COCHABAMBA;;;“PROVISIÓN DE EQUIPOS, MATERIALES Y SERVICIOS PARA NUEVA RED FTTX – GPON FASE 2”;;4TO_CENTENARIO;OUTDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_4TO_CENTENARIO_CBB;;;;;;;;;;;;;;;;;;;;10.201.130.0/27;10.201.130.1;10.201.130.6;4008;;939;4043;1278;4044;3917;10.247.34.0/23;4068;10.181.48.0/20;NA;NA;NA;NA;NA;NA;NA;NA
165;CBB;COCHABAMBA;;;“PROVISIÓN DE EQUIPOS, MATERIALES Y SERVICIOS PARA NUEVA RED FTTX – GPON FASE 2”;;ALTO_TEMPORAL_(LOMAS_DE_ARANJUEZ);OUTDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_ALTO_TEMPORAL_(LOMAS_DE_ARANJUEZ)_CBB;;;;;;;;;;;;;;;;;;;;10.201.130.0/27;10.201.130.1;10.201.130.7;4008;;939;4045;1279;4046;3918;10.247.36.0/23;4069;10.181.64.0/20;NA;NA;NA;NA;NA;NA;NA;NA
166;CBB;COCHABAMBA;;;“PROVISIÓN DE EQUIPOS, MATERIALES Y SERVICIOS PARA NUEVA RED FTTX – GPON FASE 2”;;RECOLETA;OUTDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_RECOLETA_CBB;;;;;;;;;;;;;;;;;;;;10.201.130.0/27;10.201.130.1;10.201.130.8;4008;;939;1802;1280;1803;3921;10.247.42.0/23;4070;10.36.64.0/21;NA;NA;NA;NA;NA;NA;NA;NA
167;CBB;COCHABAMBA;;;“PROVISIÓN DE EQUIPOS, MATERIALES Y SERVICIOS PARA NUEVA RED FTTX – GPON FASE 2”;;PAMPAGRANDE;INDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_PAMPAGRANDE_CBB;;;;;;;;;;;;;;;;;;;;10.201.130.32/27 ;10.201.130.33;10.201.130.36;4008;;939;4023;1281;4024;3907;10.247.14.0/23;4051;10.181.96.0/20;NA;NA;NA;NA;NA;NA;NA;NA
168;CBB;COCHABAMBA;;;“PROVISIÓN DE EQUIPOS, MATERIALES Y SERVICIOS PARA NUEVA RED FTTX – GPON FASE 2”;;IDIF;OUTDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_IDIF_CBB;;;;;;;;;;;;;;;;;;;;10.201.130.32/27 ;10.201.130.33;10.201.130.37;4008;;939;4025;1282;4026;3908;10.247.16.0/23;4052;10.181.112.0/20;NA;NA;NA;NA;NA;NA;NA;NA
169;CBB;COCHABAMBA;;;“PROVISIÓN DE EQUIPOS, MATERIALES Y SERVICIOS PARA NUEVA RED FTTX – GPON FASE 2”;;BLANCO_GALINDO;OUTDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_BLANCO_GALINDO_CBB;;;;;;;;;;;;;;;;;;;;10.201.130.32/27 ;10.201.130.33;10.201.130.38;4008;;939;1800;1283;1801;3920;10.247.40.0/23;4050;10.36.72.0/21;NA;NA;NA;NA;NA;NA;NA;NA
170;CBB;COCHABAMBA;;;“PROVISIÓN DE EQUIPOS, MATERIALES Y SERVICIOS PARA NUEVA RED FTTX – GPON FASE 2”;;PUNTITI;INDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_PUNTITI_CBB;;;;;;;;;;;;;;;;;;;;10.201.130.64/27 ;10.201.130.65;10.201.130.68;4008;;939;4037;1284;4038;3914;10.247.28.0/23;4073;10.181.128.0/20;NA;NA;NA;NA;NA;NA;NA;NA
171;CBB;COCHABAMBA;;;“PROVISIÓN DE EQUIPOS, MATERIALES Y SERVICIOS PARA NUEVA RED FTTX – GPON FASE 2”;;SACABA;OUTDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_SACABA_CBB;;;;;;;;;;;;;;;;;;;;10.201.130.64/27 ;10.201.130.65;10.201.130.69;4008;;939;4039;1285;4040;3915;10.247.30.0/23;4074;10.181.144.0/20;NA;NA;NA;NA;NA;NA;NA;NA
172;CBB;COCHABAMBA;;;“PROVISIÓN DE EQUIPOS, MATERIALES Y SERVICIOS PARA NUEVA RED FTTX – GPON FASE 2”;;VALLE_HERMOSO;INDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_VALLE_HERMOSO_CBB;;;;;;;;;;;;;;;;;;;;10.201.130.96/27;10.201.130.97;10.201.130.100;4008;;939;4017;1286;4018;3904;10.247.8.0/23;4075;10.181.160.0/20;NA;NA;NA;NA;NA;NA;NA;NA
173;CBB;COCHABAMBA;;;“PROVISIÓN DE EQUIPOS, MATERIALES Y SERVICIOS PARA NUEVA RED FTTX – GPON FASE 2”;;PANAMERICANA;INDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_PANAMERICANA_CBB;;;;;;;;;;;;;;;;;;;;10.201.130.128/27;10.201.130.129;10.201.130.132;4008;;939;4033;1287;4034;3912;10.247.24.0/23;4076;10.181.176.0/20;NA;NA;NA;NA;NA;NA;NA;NA
174;CBB;COCHABAMBA;;;“PROVISIÓN DE EQUIPOS, MATERIALES Y SERVICIOS PARA NUEVA RED FTTX – GPON FASE 2”;;VILLA_VENEZUELA;OUTDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_VILLA_VENEZUELA_CBB;;;;;;;;;;;;;;;;;;;;10.201.130.128/27;10.201.130.129;10.201.130.133;4008;;939;4013;1288;4014;3919;10.247.38.0/23;4077;10.181.192.0/20;NA;NA;NA;NA;NA;NA;NA;NA
175;CBB;COCHABAMBA;;;“PROVISIÓN DE EQUIPOS, MATERIALES Y SERVICIOS PARA NUEVA RED FTTX – GPON FASE 2”;;TAMBORADA;INDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_TAMBORADA_CBB;;;;;;;;;;;;;;;;;;;;10.201.130.128/27;10.201.130.129;10.201.130.134;4008;;939;4035;1289;4036;3913;10.247.26.0/23;4078;10.181.208.0/20;NA;NA;NA;NA;NA;NA;NA;NA
176;CBB;COCHABAMBA;;;“PROVISIÓN DE EQUIPOS, MATERIALES Y SERVICIOS PARA NUEVA RED FTTX – GPON FASE 2”;;TIQUIPAYA;INDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_TIQUIPAYA_CBB;;;;;;;;;;;;;;;;;;;13/4/2023;10.201.130.160/27;10.201.130.161;10.201.130.164;4008;;939;4019;1290;4020;3905;10.247.10.0/23;4079;10.181.224.0 /20;NA;NA;NA;NA;NA;NA;NA;NA
177;CBB;COCHABAMBA;;;“PROVISIÓN DE EQUIPOS, MATERIALES Y SERVICIOS PARA NUEVA RED FTTX – GPON FASE 2”;;QUILLACOLLO;INDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_QUILLACOLLO_CBB;;;;;;;;;;;;;;;;;;;;10.201.130.192/27;10.201.130.193;10.201.130.196;4008;;939;4041;1291;4042;3916;10.247.32.0/23;4080;10.181.240.0/20;NA;NA;NA;NA;NA;NA;NA;NA
178;SCZ;SANTA CRUZ;;;“PROVISIÓN DE TARJETAS DE LÍNEA GPON PARA OLT ZTE”;;SCZ-OLT-C600-ZTE-ENTEL_WARNES;INDOOR;ZTE - C600;;;;;NELSON BOTETANO;OLT_SCZ-OLT-C600-ZTE-ENTEL_WARNES_SCZ;;;;;;;;;;;;;;;;;;;;10.201.131.0/27 ;10.201.131.1;10.201.131.7;;;;;;;;;;;NA;NA;NA;NA;NA;NA;NA;NA
179;SCZ;SANTA CRUZ;;;“PROVISIÓN DE EQUIPOS, MATERIALES Y SERVICIOS PARA NUEVA RED FTTX – GPON FASE 2”;;ENTEL_WARNES;INDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_ENTEL_WARNES_SCZ;;;;;;;;;;;;;;;;;;;;10.201.131.0/27;10.201.131.1;10.201.131.4;4008;;939;4021;4001;4022;3909;10.246.18.0/23;3809;10.182.16.0/20;NA;NA;NA;NA;NA;NA;NA;NA
180;SCZ;SANTA CRUZ;;;“PROVISIÓN DE EQUIPOS, MATERIALES Y SERVICIOS PARA NUEVA RED FTTX – GPON FASE 2”;;AX_(LA_RAMADA);INDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_AX_(LA_RAMADA)_SCZ;;;;;;;;;;;;;;;;;;;;10.201.131.0/27 ;10.201.131.1;10.201.131.5;4008;;939;4041;4001;4042;3918;10.246.36.0/23;3818;10.182.32.0/20;NA;NA;NA;NA;NA;NA;NA;NA
181;SCZ;SANTA CRUZ;;;“PROVISIÓN DE EQUIPOS, MATERIALES Y SERVICIOS PARA NUEVA RED FTTX – GPON FASE 2”;;SAAVEDRA;INDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_SAAVEDRA_SCZ;;;;;;;;;;;;;;;;;;;;10.201.131.0/27;10.201.131.1;10.201.131.6;4008;;939;4027;4001;4028;3911;10.246.22.0/23;3811;10.182.48.0/20;NA;NA;NA;NA;NA;NA;NA;NA
182;SCZ;SANTA CRUZ;;;“PROVISIÓN DE EQUIPOS, MATERIALES Y SERVICIOS PARA NUEVA RED FTTX – GPON FASE 2”;;HAWAI_(TROMPILLO);INDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_HAWAI_(TROMPILLO)_SCZ;;;;;;;;;;;;;;;;;;;;10.201.131.32/27;10.201.131.33;10.201.131.36;4008;;939;4049;4001;4050;3922;10.246.44.0/23;3822;10.182.64.0/20;NA;NA;NA;NA;NA;NA;NA;NA
183;SCZ;SANTA CRUZ;;;“PROVISIÓN DE EQUIPOS, MATERIALES Y SERVICIOS PARA NUEVA RED FTTX – GPON FASE 2”;;EQUIPETROL;INDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_EQUIPETROL_SCZ;;;;;;;;;;;;;;;;;;;;10.201.131.96/27;10.201.131.97;10.201.131.100;4008;;939;4017;4001;4018;3907;10.246.14.0/23;3807;10.182.96.0/20;NA;NA;NA;NA;NA;NA;NA;NA
184;SCZ;SANTA CRUZ;;;“PROVISIÓN DE EQUIPOS, MATERIALES Y SERVICIOS PARA NUEVA RED FTTX – GPON FASE 2”;;AJ_(EXPOFERIA);INDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_AJ_(EXPOFERIA)_SCZ;;;;;;;;;;;;;;;;;;;;10.201.131.96/27 ;10.201.131.97;10.201.131.101;4008;;939;4051;4001;4052;3923;10.246.46.0/23;3823;10.248.104.0/21;NA;NA;NA;NA;NA;NA;NA;NA
185;SCZ;SANTA CRUZ;;;“PROVISIÓN DE EQUIPOS, MATERIALES Y SERVICIOS PARA NUEVA RED FTTX – GPON FASE 2”;;RBS_ARGENTINA;INDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_RBS_ARGENTINA_SCZ;;;;;;;;;;;;;;;;;;;;10.201.131.192/27;10.201.131.193;10.201.131.199;4008;;939;4011;4001;4012;3904;10.246.8.0/23;3804;10.182.144.0/20;NA;NA;NA;NA;NA;NA;NA;NA
186;SCZ;SANTA CRUZ;;;“PROVISIÓN DE EQUIPOS, MATERIALES Y SERVICIOS PARA NUEVA RED FTTX – GPON FASE 2”;;SAN_JOSE_OBRERO;INDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_SAN_JOSE_OBRERO_SCZ;;;;;;;;;;;;;;;;;;;;10.201.131.192/27;10.201.131.193;10.201.131.196;4008;;939;4019;4001;4020;3908;10.246.16.0/23;3808;10.182.176.0/21;NA;NA;NA;NA;NA;NA;NA;NA
187;SCZ;SANTA CRUZ;;;“PROVISIÓN DE EQUIPOS, MATERIALES Y SERVICIOS PARA NUEVA RED FTTX – GPON FASE 2”;;MUTUALISTA;INDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_MUTUALISTA_SCZ;;;;;;;;;;;;;;;;;;;;10.201.131.192/27 ;10.201.131.193;10.201.131.197;4008;;939;4025;4001;4026;3910;10.246.20.0/23;3810;10.182.184.0/21;NA;NA;NA;NA;NA;NA;NA;NA
188;SCZ;SANTA CRUZ;;;“PROVISIÓN DE EQUIPOS, MATERIALES Y SERVICIOS PARA NUEVA RED FTTX – GPON FASE 2”;;2_DE_AGOSTO;INDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_2_DE_AGOSTO_SCZ;;;;;;;;;;;;;;;;;;;;10.201.131.192/27 ;10.201.131.193;10.201.131.198;4008;;939;4015;4001;4016;3906;10.246.12.0/23;3806;10.182.208.0/21;NA;NA;NA;NA;NA;NA;NA;NA
189;SCZ;SANTA CRUZ;;;“PROVISIÓN DE EQUIPOS, MATERIALES Y SERVICIOS PARA NUEVA RED FTTX – GPON FASE 2”;;BARRIO_ORIENTAL;INDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_BARRIO_ORIENTAL_SCZ;;;;;;;;;;;;;;;;;;;;10.201.131.224/27;10.201.131.225;10.201.131.228;4008;;939;4047;4001;4048;3921;10.246.42.0/23;3821;10.182.192.0/21;NA;NA;NA;NA;NA;NA;NA;NA
190;SCZ;SANTA CRUZ;;;“PROVISIÓN DE EQUIPOS, MATERIALES Y SERVICIOS PARA NUEVA RED FTTX – GPON FASE 2”;;DATACOM;INDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_DATACOM_SCZ;;;;;;;;;;;;;;;;;;;;10.201.131.224/27;10.201.131.225;10.201.131.229;4008;;939;4029;4001;4030;3912;10.246.24.0/23;3812;10.182.224.0 /20;NA;NA;NA;NA;NA;NA;NA;NA
191;SCZ;SANTA CRUZ;;;“PROVISIÓN DE EQUIPOS, MATERIALES Y SERVICIOS PARA NUEVA RED FTTX – GPON FASE 2”;;MÓVIL;INDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_MÓVIL_SCZ;;;;;;;;;;;;;;;;;;;;10.201.131.224/27;10.201.131.225;10.201.131.230;4008;;939;4039;4001;4040;3917;10.246.34.0/23;3817;10.182.240.0/20;NA;NA;NA;NA;NA;NA;NA;NA
192;SCZ;SANTA CRUZ;;;“PROVISIÓN DE EQUIPOS, MATERIALES Y SERVICIOS PARA NUEVA RED FTTX – GPON FASE 2”;;NUEVA_JERUSALEN;OUTDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_NUEVA_JERUSALEN_SCZ;;;;;;;;;;;;;;;;;;;21/4/2023;10.201.132.0/28;10.201.132.1;10.201.132.4;4008;;939;4037;4001;4038;3916;10.246.32.0/23;3816;10.182.200.0/21;NA;NA;NA;NA;NA;NA;NA;NA
